_id,user_community,tweet_community,ecommerce_community,blog_community,label
5d648f8a7d7dbe4bc487dfca,0,-2,-1,-2,-1
5d648f8a7d7dbe4bc487dfda,0,0,154,-2,-1
5d648f8a7d7dbe4bc487dff8,0,-2,-1,-2,-1
5d648f8a7d7dbe4bc487e010,0,0,93,-2,-1
5d648f8a7d7dbe4bc487e0b6,0,-2,-1,-2,-1
5d648f8a7d7dbe4bc487e0b7,0,-2,-1,-2,-1
5d648f8b7d7dbe4bc487e1cc,0,-2,-1,-2,-1
5d648f8b7d7dbe4bc487e280,0,-2,-1,-2,-1
5d648f8b7d7dbe4bc487e281,0,-1,130,-1,-1
5d648f8b7d7dbe4bc487e315,22,-2,-1,-2,-1
5d648f8b7d7dbe4bc487e319,0,-2,-1,-2,-1
5d648f8b7d7dbe4bc487e359,10,-2,101,-1,-1
5d648f8b7d7dbe4bc487e37e,0,-2,-1,-2,-1
5d648f8c7d7dbe4bc487e39c,13,-2,-1,-2,-1
5d636db44285a7c3317ca942,0,-1,117,-2,-1
5d636db84285a7c3317cabd5,26,-2,-1,-2,-1
5d636dbc4285a7c3317cac0b,4,0,112,-2,-1
5d636e174285a7c3317ccc74,0,25,121,14,-1
5d636e1a4285a7c3317cce0a,0,-2,-1,-2,-1
5d636e584285a7c3317cd254,28,-2,-1,5,-1
5d636e894285a7c3317cdca9,4,-1,35,-1,-1
5d636e9f4285a7c3317ce70e,29,0,57,-2,-1
5d636ebb4285a7c3317ceaa0,0,-2,-1,-2,-1
5d636ed04285a7c3317cec21,0,-2,-1,-2,-1
5d636ef04285a7c3317cefc0,0,0,116,-1,-1
5d636f114285a7c3317cf451,11,-1,119,16,-1
5d636f0e4285a7c3317cf448,0,-2,-1,-2,-1
5d636f1c4285a7c3317cf4c1,3,-2,-1,-2,-1
5d636f224285a7c3317cf4dc,3,13,23,-1,-1
5d636f504285a7c3317cfb87,3,-2,-1,-2,-1
5d636f5c4285a7c3317cfc72,0,-2,-1,-2,-1
5d636f654285a7c3317cfc97,3,-2,-1,-2,-1
5d636fbd4285a7c3317d0197,3,-1,127,57,-1
5d636fca4285a7c3317d01f5,11,-1,130,5,-1
5d636fdf4285a7c3317d0298,3,-2,-1,5,-1
5d636fff4285a7c3317d2703,0,-1,-1,-1,-1
5d6370424285a7c3317d3807,4,0,116,5,-1
